lat,long,nombre_estacion,id_estacion,capacidad,dirección_completa,direccion_nombre,direccion_altura,direccion_interseccion,barrio
-34.5559308,-58.4812325,283 - CNEL. JUAN CRUZ CZETZ,264,16,"Balbin, Ricardo, Dr. Av. y Larralde, Crisologo Av.","Balbin, Ricardo, Dr. Av.",,"Larralde, Crisologo Av.",Saavedra
-34.6418833,-58.450658,361 - Plaza Don Segundo Sombra,265,16,Santander 2347,Santander,2347,,Flores
-34.6601336,-58.4287202,379 - BERG,266,16,"Berg, Carlos 3402","Berg, Carlos",3402,,Villa Soldati
-34.6296512,-58.4835484,353 - PLAZA VELEZ SARSFIELD,267,12,Chivilcoy y Avellaneda Av.,Chivilcoy,,Avellaneda Av.,Floresta
-34.5500734,-58.476643,399 - GARCIA DEL RIO,268,28,Garcia Del Rio y Pinto,Garcia Del Rio,,Pinto,Saavedra
-34.577296,-58.457854,260 - SAN MIGUEL DE GARICOITS,269,18,"Delgado y Loreto, Virrey",Delgado,,"Loreto, Virrey",Colegiales
-34.640114,-58.43026,370 - Beauchef,270,16,Beauchef 1995,Beauchef,1995,,Parque Chacabuco
-34.63008,-58.47426,365 - Venancio Flores,271,20,"Argerich y Flores, Venancio, Gral.",Argerich,,"Flores, Venancio, Gral.",Flores
-34.5883744,-58.4668651,347 - PLAZA MALAVER,272,20,Heredia 328,Heredia,328,,Villa Ortuzar
-34.61668,-58.4466674,223 - GAINZA,273,16,"Gainza, Martin De, Gral. 494","Gainza, Martin De, Gral.",494,,Caballito
-34.5563511,-58.4630428,369 - Ciudad De La Paz,274,24,Ciudad De La Paz 2816,Ciudad De La Paz,2816,,Belgrano
-34.5619095,-58.4585729,256 - PLAZA NORUEGA,275,20,Ciudad De La Paz y Mendoza,Ciudad De La Paz,,Mendoza,Belgrano
-34.559476,-58.4699652,296 - FREIRE,276,16,"Freire, Ramon, Cap. Gral. 2899","Freire, Ramon, Cap. Gral.",2899,,Coghlan
-34.5634645,-58.4360367,292 - PLAZA BOLIVIA,277,12,Olleros Av. y Del Libertador Av.,Olleros Av.,,Del Libertador Av.,Palermo
-34.564083,-58.469789,233 - MONROE,278,16,Superi 2519,Superi,2519,,Coghlan
-34.6074177,-58.4047854,325 - CASTELLI Y PERON,279,20,"Castelli y Peron, Juan Domingo, Tte. General",Castelli,,"Peron, Juan Domingo, Tte. General",Balvanera
-34.6333113,-58.4494755,222 - SIMON BOLIVAR,280,24,"Fernandez Moreno, Baldomero 1701","Fernandez Moreno, Baldomero",1701,,Parque Chacabuco
-34.6138773,-58.4583742,350 - Plaza Irlanda,281,16,Gaona Av. 2200,Gaona Av.,2200,,Caballito
-34.5699743,-58.4562794,332 - PLAZOLETA PORTUGAL,282,20,"Aviles, Virrey y Cramer","Aviles, Virrey",,Cramer,Colegiales
-34.6355054,-58.456035,228 - BALDOMERO,283,20,"Fernandez Moreno, Baldomero 2289","Fernandez Moreno, Baldomero",2289,,Flores
-34.6311092,-58.4350943,229 - RIGLOS,284,20,Riglos 1019,Riglos,1019,,Parque Chacabuco
