station_id,name,capacity,lat,lon
54,054 - Acuña de Figueroa,20,-34.5981183,-58.4219844
55,055 - Bouchard,20,-34.5994122,-58.36966404
56,056 - Plaza Palermo Viejo,16,-34.588567,-58.425999
57,057 - BELGRANO,16,-34.6134468,-58.3706051
58,058 - Ministro Carranza,20,-34.5752773,-58.4346883
59,018 - Independencia,20,-34.617771,-58.3804546
60,060 - 25 De Mayo,20,-34.6016509,-58.371079
62,062 - Córdoba,20,-34.5985102,-58.3768501
63,063 - Reconquista,20,-34.5986,-58.373062
64,064 - RIOBAMBA,20,-34.5936508,-58.3941087
65,065 - Julián Álvarez,20,-34.5873124,-58.4157873
66,066 - Billinghurst,20,-34.5945475,-58.4138713
68,068 - Rivarola,19,-34.6065099,-58.385434
69,069 - Ecuador,16,-34.5961006,-58.4046092
70,070 - ARAOZ,20,-34.5926862,-58.4260597
71,071 - CERRITO,30,-34.6026673,-58.3833559
72,072 - Venezuela,18,-34.6135421,-58.3746635
73,073 - Ruy Díaz de Guzmán,15,-34.6306814,-58.3718235
74,074 - INSTITUTO  LELOIR,30,-34.60439,-58.43454
75,075 - Plaza Primero de Mayo,19,-34.6122976,-58.3989871
76,076 - Ayacucho,20,-34.6074084,-58.3950548
77,077 - SARANDI,20,-34.6116273,-58.3947367
78,078 - SUIPACHA Y ARROYO,20,-34.5910737,-58.3799953
79,079 - AZUCENA VILLAFLOR,30,-34.61189,-58.36393
80,080 - DOBLAS,16,-34.624435,-58.4303766
82,082 - HOSPITAL ITALIANO,20,-34.6078917,-58.4263947
83,083 - Paraná,20,-34.603269,-58.3893728
84,084 - Lavalle,20,-34.6023203,-58.3955144
85,085 - AGUERO,20,-34.5948057,-58.4091784
86,086 - SAAVEDRA,20,-34.6212681,-58.4016808
87,087 - Guayaquil,16,-34.619845,-58.4314942
88,088 - MISIONES,20,-34.612575,-58.404356
89,089 - Cabello,20,-34.5825475,-58.4056671
90,090 - GUTIERREZ,20,-34.5866324,-58.3998749
91,091 - Pasco,20,-34.6174482,-58.397602
92,092 - Salcedo,20,-34.6316444,-58.4053386
93,093 - CARLOS CALVO,20,-34.620798,-58.3944635
94,094 - GÚZMAN,29,-34.591511,-58.449652
95,095 - ESMERALDA,16,-34.6021121,-58.3781678
96,096 - Carlos Gardel,20,-34.6027814,-58.4116586
98,098 - Belgrano y roca,16,-34.6127689,-58.3769407
99,099 - Malabia,20,-34.5960961,-58.435408
101,101 - Fitz Roy,20,-34.5891857,-58.4424397
102,102 - ROSETI,12,-34.5864287,-58.4458199
104,104 - Federico Lacroze,29,-34.587617,-58.455212
105,105 - 15 DE NOVIEMBRE,16,-34.6340844,-58.4008662
106,106 - RINCÓN,20,-34.6152509,-58.3958827
107,107 - HOSPITAL GARRAHAN,16,-34.630374,-58.395852
110,110 - Guardia Vieja,20,-34.601738,-58.415434
111,111 - MACACHA GUEMES,30,-34.6054877,-58.3646858
112,112 - 9 de Julio,16,-34.612075,-58.380384
114,114 - DELLA PAOLERA,30,-34.5949745,-58.3722554
115,115 - QUINTANA,16,-34.5878001,-58.3908362
116,116 - HOSPITAL ALEMÁN,12,-34.5921708,-58.4025894
117,117 - HUMBERTO 1°,16,-34.6201008,-58.3741759
118,118 - MEXICO,20,-34.6170196,-58.4026531
119,119 - EMILIO MITRE,20,-34.5885608,-58.3973293
120,120 - HOSPITAL RAMOS MEJIA,20,-34.617509,-58.4092876
121,121 - YATAY,20,-34.6011732,-58.4285093
122,122 - COSTA RICA,20,-34.5916569,-58.4204199
124,124 - UGARTECHE,20,-34.580538,-58.411965
126,126 - Ministerio de Justicia y Seguridad,16,-34.6402672,-58.3692243
127,127 - SANTOS DUMONT Y OTERO,16,-34.5923884,-58.453077
128,128 - PARQUE DEL BAJO,20,-34.6041138,-58.3689118
130,130 - RETIRO II,40,-34.5921056,-58.3745419
131,131- HOSPITAL DE CLÍNICAS,16,-34.5984043,-58.3990158
132,132 - CORRIENTES,12,-34.6033685,-58.372763
134,134 - DON BOSCO,20,-34.6118013,-58.4150532
135,135 - MARCELO T. DE ALVEAR,20,-34.5972818,-58.3787856
137,137 - AZOPARDO Y CHILE,20,-34.6155977,-58.3674923
138,138 - Hospital Britanico,12,-34.6353595,-58.3876724
141,141 - SOLIS Y ALSINA,20,-34.6115231,-58.3904968
143,143 - BILLINGHURST Y VALENTÍN GOMEZ,20,-34.604709,-58.415807
144,144 - PUEYRREDÓN,20,-34.6018744,-58.4060944
146,146 - Hospital Francés,20,-34.6221118,-58.4078419
148,323 - Parque Avellaneda II,28,-34.645137,-58.484507
149,149 - LIMA,16,-34.6153266,-58.3813642
150,150 - VERA PEÑALOZA,30,-34.6181003,-58.3631389
151,151 - AIME PAINÉ,24,-34.6118145,-58.361285
152,152 - JULIETA LANTERI,20,-34.6181645,-58.3596311
153,153 - JUAN MANUEL DE BLANES,15,-34.6307765,-58.3620701
154,154 - GALLO,20,-34.6005484,-58.4122849
155,155 - Parque José Evaristo Uriburu,19,-34.6409617,-58.4125606
156,156 - Plaza Alemania,20,-34.5775895,-58.4074696
158,158 - VILLARROEL,19,-34.592735,-58.4450697
161,161 - Humahuaca,20,-34.6020779,-58.4196761
162,162 - LARREA Y BARTOLOMÉ MITRE,20,-34.608985,-58.401924
163,163 - ONCE II,30,-34.6095663,-58.4064308
164,164 - FACULTAD DE INGENERIA,20,-34.6181442,-58.3669021
165,165 - PLAZA MONSEÑOR MIGUEL DE ANDREA,12,-34.597048,-58.407614
166,166 - Cementerio de Recoleta,20,-34.5891897,-58.3932507
167,275 - PLAZA 24 DE SEPTIEMBRE,16,-34.6070594,-58.4485709
168,168 - Estados Unidos,16,-34.6186217,-58.3812271
169,169 - FACULTAD DE PSICOLOGIA,12,-34.611875,-58.411887
170,170 - SAN LUIS Y ECUADOR,20,-34.5996644,-58.4061023
171,171 - Pasteur,20,-34.6032813,-58.3997553
172,172 - BRASIL,16,-34.625426,-58.371082
173,173 - PLAZA CECILIA GRIERSON,16,-34.6222964,-58.3751607
174,174 - MINISTERIO DE EDUCACION,20,-34.597225,-58.391768
175,147 - Constitución,36,-34.626814,-58.380679
176,176 - PINZÓN Y MARTÍN RODRIGUEZ,20,-34.6341873,-58.3611029
177,177 -PLANETARIO,12,-34.568165,-58.412121
179,179 - LA BOCA,19,-34.638989,-58.3605313
180,180 - CASTRO Y MEXICO,20,-34.619775,-58.420492
181,181 - BILLINGHURST Y MANSILLA,20,-34.5926649,-58.4120072
182,182 - RAVIGNANI Y GUATEMALA,20,-34.5780479,-58.4352466
183,183 - VIRREY CEVALLOS,20,-34.6156994,-58.3899728
184,184 - Pedro Echague,20,-34.6306129,-58.3913419
185,185 - AV. PAVÓN Y 33 ORIENTALES,20,-34.63133,-58.42177
186,186 - MANZANA 66,20,-34.6136356,-58.4064415
187,261 - QUINTEROS LIDORO,16,-34.5528626,-58.450854
188,373 - Jorgelina De Simone,19,-34.623923,-58.3904814
189,189 - POSADAS,20,-34.5886889,-58.3852113
190,190 - JUNCAL,20,-34.5850763,-58.4111136
191,191 - Rivadavia y 9 de Julio,16,-34.6079305,-58.3808358
192,192 - Talcahuano,20,-34.5972773,-58.3855748
193,193 - ARENALES Y AGUERO,20,-34.5908626,-58.4061652
194,194 - PERÓN Y ACUÑA DE FIGUEROA,16,-34.6060758,-58.4224635
195,357 - PLAZA MARTIN FIERRO,20,-34.6260785,-58.407389
196,196 - HOSPITAL ARGERICH,19,-34.6275351,-58.3657211
197,197 - Quintino Bocayuva,20,-34.613449,-58.4233969
199,199 - ESTADOS UNIDOS Y BOEDO,20,-34.6222601,-58.4160137
200,200 - AUSTRIA Y FRENCH,20,-34.5883282,-58.4038684
201,175 - Esmeralda y Corrientes,20,-34.6034449,-58.378167
202,001 - FACULTAD DE DERECHO,30,-34.583811,-58.390967
203,108 - Usina del Arte,24,-34.628511,-58.356004
204,167 - Hipólito Yrigoyen,24,-34.6148209,-58.4278453
205,125 - F.J.Santamaria de Oro,16,-34.5832733,-58.4279562
206,159 - Fitz Roy & Gorriti,16,-34.5849119,-58.4372524
207,123 - Armenia,20,-34.5852485,-58.420906
208,145 - RAVIGNANI,20,-34.5804702,-58.4379925
210,335 - General Urquiza,20,-34.572132,-58.4113228
211,195 - Plaza Garay,20,-34.6266267,-58.3879696
212,129 - Velasco,20,-34.600164,-58.434983
213,136 - Acevedo,20,-34.5995649,-58.4425362
214,142 - Armenia y Gorriti,16,-34.5905808,-58.4289624
215,113 - Guatemala,20,-34.5858843,-58.4251226
216,059 - Coronel Diaz,20,-34.5900976,-58.4114907
217,198 - HOSPITAL SARDÁ,16,-34.6342818,-58.4042123
218,067 - Senillosa,16,-34.638523,-58.425464
219,140 - Las Casas,16,-34.6351732,-58.4157035
220,097 - Avelino Diaz,16,-34.6354717,-58.4279173
221,157 - Senillosa y Zuviria,20,-34.6280441,-58.4274042
222,160 - Godoy Cruz y Libertador,20,-34.5727715,-58.4206642
223,178 - José Marmol,16,-34.623456,-58.424895
224,133 - Nicaragua,20,-34.5808537,-58.434484
225,109 - Lerma,20,-34.5968511,-58.4295184
226,139 - Virrey Liniers,20,-34.633335,-58.4132263
227,188 - Aranguren,20,-34.6105021,-58.4327935
228,010 - Madero UCA,20,-34.6162819,-58.3657444
229,243 - PLAZOLETA CELEDONIO FLORES,12,-34.5813811,-58.4514575
230,259 - PLAZA CASTELLI,16,-34.5678255,-58.4645037
231,384 - PLAZA BENITO NAZAR,16,-34.6051305,-58.4458398
232,252 - Tamborini,20,-34.5599395,-58.4788904
233,389 - Plaza República De Mexico,24,-34.5539765,-58.4360367
234,344 - UNIVERSIDAD DI TELLA,20,-34.5483593,-58.4475673
235,281 - Villa Urquiza,24,-34.5737764,-58.4868051
236,254 - Plaza Rafael Hernandez,16,-34.5623422,-58.4550484
238,217 - Cachimayo,24,-34.6365814,-58.4367011
239,391 - Plaza República de Ecuador,20,-34.5650089,-58.4201625
240,239 - Vidal,24,-34.558137,-58.465559
241,348 - Villa del Parque,12,-34.600874,-58.494123
242,103 - MALBA,20,-34.5771741,-58.4032162
244,266 - Plaza Alfredo Nobel,20,-34.5874735,-58.4842469
245,248 - Husares,16,-34.5522044,-58.4431506
246,338 - Sucre y Dragones,16,-34.554326,-58.4389256
247,282 - Tronador,18,-34.5839895,-58.4666304
248,346 - Plaza Zapiola,20,-34.5738411,-58.4742812
250,366 - Plaza Diaz Velez,16,-34.6526797,-58.377215
251,388 - Plaza Jose C Paz,20,-34.6446224,-58.409772
252,331 - PLAZA HERRERA,16,-34.6445163,-58.3762137
253,383 - Boedo & Venezuela,20,-34.6172808,-58.4167728
254,276 - PRIMERA JUNTA,16,-34.6206836,-58.4415718
255,374 - Puan,16,-34.6221889,-58.44855
256,209 - PAYSANDU,20,-34.610398,-58.454304
257,264 - Plaza Marcos Sastre,24,-34.570829,-58.481233
258,336 - La Pampa,16,-34.5655918,-58.4554838
259,290 - Club Excursionistas,16,-34.5580469,-58.4434052
260,371 - Paseo de las Americas,18,-34.550961,-58.4381142
261,272 - Plaza Bruno Giordano,16,-34.616207,-58.4406995
262,349 - Plaza Saenz Peña,16,-34.60962,-58.4673963
263,270 - PLAZA DEL ANGEL GRIS,12,-34.6217948,-58.4575279
264,283 - CNEL. JUAN CRUZ CZETZ,16,-34.5559308,-58.4812325
265,361 - Plaza Don Segundo Sombra,16,-34.6418833,-58.450658
266,379 - BERG,16,-34.6601336,-58.4287202
267,353 - PLAZA VELEZ SARSFIELD,11,-34.6296512,-58.4835484
268,399 - GARCIA DEL RIO,28,-34.550293,-58.4764172
269,260 - SAN MIGUEL DE GARICOITS,18,-34.577296,-58.457854
270,370 - Beauchef,16,-34.640114,-58.43026
271,365 - Venancio Flores,20,-34.63008,-58.47426
272,347 - PLAZA MALAVER,20,-34.5883744,-58.4668651
273,223 - GAINZA,16,-34.61668,-58.4466674
274,369 - Ciudad De La Paz,24,-34.5563511,-58.4630428
275,256 - PLAZA NORUEGA,20,-34.5622136,-58.4588816
276,296 - FREIRE,16,-34.559476,-58.4699652
277,292 - PLAZA BOLIVIA,12,-34.5634645,-58.4360367
278,233 - MONROE,16,-34.564083,-58.469789
279,325 - CASTELLI Y PERON,20,-34.607516,-58.404758
280,222 - SIMON BOLIVAR,24,-34.6333113,-58.4494755
281,350 - Plaza Irlanda,24,-34.6138773,-58.4583742
282,332 - PLAZOLETA PORTUGAL,20,-34.5699743,-58.4562794
283,228 - BALDOMERO,20,-34.6355054,-58.456035
284,229 - RIGLOS,20,-34.6311092,-58.4350943
285,400 - Reserva Ecologica,19,-34.6172122,-58.3561752
286,284 - BONIFACIO Y CARABOBO,16,-34.6304712,-58.4551112
287,299 - HIDALGO,20,-34.6103343,-58.4409183
288,333 - MIRO,20,-34.6404886,-58.4429517
289,255 - BARRANCAS DE BELGRANO,24,-34.5597934,-58.4484316
290,224 - FERROCARRIL OESTE,20,-34.6186003,-58.4456027
291,244 - UADE,16,-34.616985,-58.381621
292,355 - PLAZA RICARDO LLERAS,20,-34.634796,-58.378109
293,294 - Bonifacio,16,-34.6264943,-58.4324405
294,363 - Udaondo,20,-34.5458835,-58.4520062
295,392 - Calasanz,20,-34.624802,-58.437683
296,293 - PEDERNERA,16,-34.632961,-58.462547
297,320 - QUIRNO,16,-34.640978,-58.466118
298,271 - Plazoleta 11 de Noviembre,15,-34.634443,-58.463437
299,221 - CULPINA,20,-34.631486,-58.466293
300,321 - PERITO MORENO,20,-34.650635,-58.4341097
301,309 - HOMERO MANZI,20,-34.644841,-58.431785
302,340 - PLAZA NUEVA POMPEYA,16,-34.651955,-58.415423
303,238 - RIVERA,20,-34.5577145,-58.4626871
304,395 - Agronomia II,16,-34.589409,-58.484204
305,398 - Rojas,16,-34.612684,-58.44487
306,380 - Paysandu y Galicia,20,-34.608465,-58.45585
307,358 - Plaza Almirante Brown,20,-34.6451626,-58.365323
308,251 - Solar de la Abadía,20,-34.567639,-58.436847
309,298 - IRALA,20,-34.6350001,-58.367059
310,356 - Plaza Sergio Karakachoff,16,-34.63819,-58.37747
311,213 - Hospital Alvear,20,-34.5972098,-58.47421143
312,311 - CONCORDIA,20,-34.629028,-58.4769111
313,291 - UNIVERSIDAD DE BELGRANO,20,-34.565003,-58.4449536
314,212 - SOR JUANA,16,-34.61047,-58.4602399
316,205 - SAN MARTIN,16,-34.605638,-58.4533609
317,220 - GIRIBONE,20,-34.5797368,-58.4578146
318,285 - ESPINOSA,20,-34.603935,-58.45732
319,329 - PASO Y LAVALLE,20,-34.6036,-58.4036
320,364 - Carranza Y Gorriti,20,-34.584063,-58.440137
321,246 - EDUARDO OLIVERA,16,-34.561851,-58.444754
322,289 - MONTAÑESES,20,-34.5513269,-58.4541858
323,240 - ECHEVERRIA,24,-34.565275,-58.459401
324,280 - JURAMENTO,16,-34.578933,-58.4840556
325,342 - SAENZ,16,-34.645252,-58.416547
326,343 - POMAR,20,-34.6411734,-58.4202266
327,341 - TILCARA,16,-34.654386,-58.419928
328,043 - Plaza Houssay,16,-34.598549,-58.397354
329,100 - Plaza Gurruchaga,20,-34.5931053,-58.4351681
330,148 - Paternal,16,-34.6008267,-58.4699818
332,202 - Nogoya Y Argerich,16,-34.602133,-58.490891
333,203 - Beiro,20,-34.6004332,-58.5036238
335,206 - Galicia,20,-34.615852,-58.470907
336,207 - PLAZA ARENALES,28,-34.5999173,-58.5114159
337,208 - Segui,16,-34.5985,-58.4613
338,210 - Terrero,16,-34.602931,-58.479421
339,211 - ARANGUREN Y SEGUI,16,-34.61938,-58.45471
340,214 - Flores,11,-34.626242,-58.467329
341,216 - Margariños Cervantes y Argerich,16,-34.6142336,-58.4813858
342,218 - Campana,20,-34.616813,-58.484297
343,219 - Parque Chacabuco II,18,-34.6357272,-58.4411639
345,226 - Parque La Paternal,20,-34.5947762,-58.4750615
347,230 - Parque Las Heras II,20,-34.5834356,-58.4065391
348,231 - Margariños Cervantes,16,-34.610482,-58.474369
349,232 - Sucre y Martinez,20,-34.570894,-58.466884
350,234 - Valdenegro,20,-34.567996,-58.4851455
351,235 - Colegiales,16,-34.5717033,-58.4520772
352,236 - Guemes,28,-34.5807104,-58.4248291
353,237 - Madero Office,20,-34.5986842,-58.3644782
354,241 - Sanatorio Mendez,20,-34.613457,-58.4401581
355,242 - Plazoleta Rafael del Riego,16,-34.5675048,-58.4465088
356,245 - Arribeños,16,-34.547695,-58.4584684
358,249 - Balbín,12,-34.5615465,-58.4655255
359,250 - Fleni,20,-34.555654,-58.4504687
361,258 - Plaza J.J. Paso,20,-34.569147,-58.453732
362,262 - Holmberg,16,-34.566746,-58.479108
363,354 - Plaza Tupac Amaru,28,-34.642052,-58.46205
364,381 - Matienzo Y Arce,24,-34.568722,-58.434381
366,360 - Plaza Ramon Falcon,20,-34.635402,-58.482602
367,287 - Belaustegui,16,-34.6163487,-58.4772418
369,304 - Navarro,20,-34.592244,-58.491797
370,305 - Plaza Martin Rodriguez,20,-34.590964,-58.500336
371,269 - Plaza De La Misericordia,16,-34.63281,-58.455058
372,322 - MARTÍ Y DIRECTORIO,12,-34.636406,-58.470136
373,265 - Plaza Exodo Jujeño,16,-34.5824889,-58.4810286
374,367 - Mariano Castex,16,-34.645764,-58.4573968
375,301 - Arregui Y Terrada,16,-34.6050537,-58.4847864
376,324 - Las Victorias,20,-34.626698,-58.4871352
377,327 - ACUÑA DE FIGUEROA Y POTOSI,16,-34.607333,-58.422987
378,215 - HOSPITAL ALVAREZ,20,-34.623123,-58.468287
379,390 - De Los Ombues,20,-34.560162,-58.428163
380,319 - Cervantes y Trelles,19,-34.6060382,-58.46481
381,274 - Plaza Nuestra Señora de la Asuncion,16,-34.6153,-58.4665179
382,204 - Biarritz,16,-34.605452,-58.477426
383,263 - Plaza Echeverria,20,-34.571621,-58.489026
384,267 - Plaza 25 De Agosto,16,-34.579734,-58.4618523
385,268 - Plaza Aristóbulo Del Valle,16,-34.6061187,-58.4934192
386,277 - Coghlan,8,-34.5656428,-58.475512
387,278 - Donato Alvarez,16,-34.6019716,-58.4655301
388,279 - Andonaegui,20,-34.580927,-58.48455
389,286 - OEA,20,-34.62795,-58.44024
390,288- 11 de septiembre,20,-34.547758,-58.459881
391,295 - Larralde,20,-34.5508944,-58.4719176
392,297 - TRONADOR Y GARCÍA DEL RÍO,16,-34.554754,-58.485419
393,300 - Jose Artigas,12,-34.590848,-58.468535
394,302 - Plaza Jose Marti,20,-34.649578,-58.462646
395,303 - Huaura,16,-34.5968038,-58.4535687
396,306 - Tres Arroyos Y Olaya,20,-34.601852,-58.448011
397,308 - Artigas Y Melincue,12,-34.5979984,-58.4856262
398,310 - Gregoria Perez,16,-34.5761817,-58.4546508
399,312 - Parque Chacabuco  I,20,-34.6340414,-58.446273
400,313 - De Los Incas,16,-34.579751,-58.471003
401,314 - Ramón Falcon,19,-34.6347618,-58.4795922
402,315 - BEIRO Y SAN MARTÍN,16,-34.5976121,-58.4985424
403,316 - Buenos Aires,20,-34.6427408,-58.3897888
404,317 - Cero Más Infinito,20,-34.543949,-58.4408983
405,318 - Plaza Y Carbajal,20,-34.5767497,-58.4689771
406,326 - Emma De La Barra,16,-34.6009283,-58.3642613
407,330 - Parque Avellaneda,28,-34.6411352,-58.4802732
408,337 - UTN,20,-34.6600076,-58.4683699
409,339 - AMANCIO ALCORTA,8,-34.65687,-58.416201
411,368 - Ensenada,12,-34.6385808,-58.4769856
412,372 - Villa Soldati,16,-34.6626285,-58.4411434
413,382 - CMD,16,-34.6545736,-58.379346
414,385 - Franklin,20,-34.607731,-58.4383041
415,386 - Gavilan Y Vallese,19,-34.6203961,-58.4637146
416,257 - Plaza Francisco Ramirez,28,-34.5532664,-58.469072
417,328 - Centro Cultural San Martin,20,-34.6053524,-58.3880338
418,345 - Plaza Mafalda,20,-34.580773,-58.4446136
419,359 - Plaza Balcarce,28,-34.547673,-58.467851
420,375 - Ciudad Universitaria I,20,-34.5440696,-58.4390434
421,376 - Ciudad Universitaria II,12,-34.5419013,-58.4438699
422,377 - Ciudad Universitaria III,28,-34.5409892,-58.4442786
424,387 - Luna,16,-34.638584,-58.399683
425,394 - Av. La Plata,16,-34.6440763,-58.422091
426,396 - PLAZA ALBERTI,20,-34.555582,-58.457962
427,397 - PLAZA MATHEU,23,-34.64072,-58.367461
428,225 - HOSPITAL TORNU,20,-34.587458,-58.4739506
429,201 - PEPIRI,8,-34.6522282,-58.4078361
430,037 - Claudia Pia Braudacco,12,-34.607981,-58.3778856
431,362 - PARQUE DE LA MEMORIA,36,-34.5430055,-58.4361167
432,187 - Jose Maria Moreno,20,-34.620249,-58.435877
433,273 - Plazoleta Colombia,20,-34.637491,-58.373638
434,247 - Plaza Lucio Demare,12,-34.5457258,-58.4650865
435,227 -Club Ciudad de Buenos Aires,16,-34.5445971,-58.4595541
436,253 - Plaza Colegiales,28,-34.5782972,-58.4450299
441,016 - Legislatura,20,-34.61001199,-58.3749195
442,048 - Perón,15,-34.6056194,-58.371607
443,081 -Balcarce,18,-34.6157533,-58.3706184
444,061-Ministerio de Economia,24,-34.608678,-58.3710082
448,393 - Barrio 31,16,-34.582618,-58.3787309
449,352 - San Jose de Flores,24,-34.6289374,-58.4636606
450,teste ecobici - 450,1,-23.5563617,-46.6625619
451,teste ecobici - 451,1,45.5568536,-73.4941693
