fin_de_semana,hora,LINEA,ID,promedio,q
False,6,LINEA_E,50,3.225,1
False,6,LINEA_E,51,3.075,1
False,6,LINEA_E,52,3.3333333333333335,1
False,6,LINEA_E,53,4.166666666666667,1
False,6,LINEA_E,59,1.7333333333333334,1
False,6,LINEA_E,60,3.9523809523809526,1
False,6,LINEA_E,61,2.7560975609756095,1
False,6,LINEA_E,67,7.839506172839506,2
False,6,LINEA_E,68,4.230769230769231,1
False,6,LINEA_H,1,4.264150943396227,1
False,6,LINEA_H,2,6.0,2
False,6,LINEA_H,3,6.181818181818182,2
False,6,LINEA_H,4,5.555555555555555,1
False,6,LINEA_H,5,5.607142857142857,1
False,6,LINEA_H,77,2.0172413793103448,1
False,6,LINEA_H,78,9.98076923076923,3
False,6,LINEA_H,79,11.493506493506494,3
False,6,LINEA_H,84,3.183333333333333,1
False,6,LINEA_H,85,3.5762711864406778,1
False,6,LINEA_H,86,1.971698113207547,1
False,7,LINEA_A,31,2.983050847457627,1
False,7,LINEA_A,32,3.942857142857143,1
False,7,LINEA_A,33,4.183333333333334,1
False,7,LINEA_A,34,5.890909090909091,1
False,7,LINEA_A,35,7.7101449275362315,2
False,7,LINEA_A,36,2.8125,1
False,7,LINEA_A,37,5.3428571428571425,1
False,7,LINEA_A,38,9.0625,2
False,7,LINEA_A,39,5.548780487804878,1
False,7,LINEA_A,40,5.243589743589744,1
False,7,LINEA_A,41,6.712328767123288,2
False,7,LINEA_A,42,5.196261682242991,1
False,7,LINEA_A,43,9.974683544303797,3
False,7,LINEA_A,70,14.46938775510204,3
False,7,LINEA_A,75,5.214876033057851,1
False,7,LINEA_A,76,4.732142857142857,1
False,7,LINEA_A,82,8.30841121495327,2
False,7,LINEA_A,83,10.763636363636364,3
False,7,LINEA_B,20,2.4754098360655736,1
False,7,LINEA_B,21,11.925,3
False,7,LINEA_B,22,3.5058823529411764,1
False,7,LINEA_B,23,6.454545454545454,2
False,7,LINEA_B,24,4.545454545454546,1
False,7,LINEA_B,25,6.868131868131868,2
False,7,LINEA_B,26,5.177083333333333,1
False,7,LINEA_B,27,12.652777777777779,3
False,7,LINEA_B,28,7.701298701298701,2
False,7,LINEA_B,29,8.404255319148936,2
False,7,LINEA_B,30,5.869158878504673,1
False,7,LINEA_B,66,9.465116279069768,2
False,7,LINEA_B,72,12.943396226415095,3
False,7,LINEA_B,73,5.545454545454546,1
False,7,LINEA_B,74,5.08,1
False,7,LINEA_B,80,3.5256410256410255,1
False,7,LINEA_B,81,12.236842105263158,3
False,7,LINEA_C,13,23.085106382978722,4
False,7,LINEA_C,14,6.270833333333333,2
False,7,LINEA_C,15,3.7666666666666666,1
False,7,LINEA_C,16,5.653061224489796,1
False,7,LINEA_C,17,3.378787878787879,1
False,7,LINEA_C,18,6.898305084745763,2
False,7,LINEA_C,19,33.5707656612529,5
False,7,LINEA_C,57,4.303571428571429,1
False,7,LINEA_C,58,7.041666666666667,2
False,7,LINEA_D,6,4.7254901960784315,1
