station_id,num_bikes_available,num_bikes_available_types,num_bikes_disabled,num_docks_available,num_docks_disabled,is_installed,is_renting,is_returning,last_reported,is_charging_station,status,name,capacity,lat,lon,timestamp_consulta
411,1,"{'mechanical': 1, 'ebike': 0}",0,11,0,1,1,1,1574868773,False,IN_SERVICE,368 - Ensenada,12,-34.6385808,-58.4769856,2019-11-27 12:37:08.432487-03:00
412,4,"{'mechanical': 4, 'ebike': 0}",5,7,4,1,1,1,1574868916,False,IN_SERVICE,372 - Villa Soldati,16,-34.6626285,-58.4411434,2019-11-27 12:37:08.432487-03:00
413,1,"{'mechanical': 1, 'ebike': 0}",0,15,0,1,1,1,1574868876,False,IN_SERVICE,382 - CMD,16,-34.6545736,-58.379346,2019-11-27 12:37:08.432487-03:00
414,0,"{'mechanical': 0, 'ebike': 0}",0,20,0,1,1,1,1574868795,False,IN_SERVICE,385 - Franklin,20,-34.607731,-58.4383041,2019-11-27 12:37:08.432487-03:00
415,1,"{'mechanical': 1, 'ebike': 0}",2,17,0,1,1,1,1574868999,False,IN_SERVICE,386 - Gavilan Y Vallese,20,-34.6203961,-58.4637146,2019-11-27 12:37:08.432487-03:00
416,2,"{'mechanical': 2, 'ebike': 0}",2,24,0,1,1,1,1574868774,False,IN_SERVICE,257 - Plaza Francisco Ramirez,28,-34.5532664,-58.469072,2019-11-27 12:37:08.432487-03:00
417,0,"{'mechanical': 0, 'ebike': 0}",0,20,0,1,1,1,1574868841,False,IN_SERVICE,328 - Centro Cultural San Martin,20,-34.6053524,-58.3880338,2019-11-27 12:37:08.432487-03:00
418,0,"{'mechanical': 0, 'ebike': 0}",1,19,1,1,1,1,1574868861,False,IN_SERVICE,345 - Plaza Mafalda,20,-34.580773,-58.4446136,2019-11-27 12:37:08.432487-03:00
419,0,"{'mechanical': 0, 'ebike': 0}",2,26,0,1,1,1,1574868919,False,IN_SERVICE,359 - Plaza Balcarce,28,-34.547673,-58.467851,2019-11-27 12:37:08.432487-03:00
420,8,"{'mechanical': 8, 'ebike': 0}",2,10,0,1,1,1,1574868890,False,IN_SERVICE,375 - Ciudad Universitaria I,20,-34.5440696,-58.4390434,2019-11-27 12:37:08.432487-03:00
421,0,"{'mechanical': 0, 'ebike': 0}",0,12,0,1,1,1,1574868837,False,IN_SERVICE,376 - Ciudad Universitaria II,12,-34.5419013,-58.4438699,2019-11-27 12:37:08.432487-03:00
422,2,"{'mechanical': 2, 'ebike': 0}",1,25,0,1,1,1,1574868958,False,IN_SERVICE,377 - Ciudad Universitaria III,28,-34.5409892,-58.4442786,2019-11-27 12:37:08.432487-03:00
424,0,"{'mechanical': 0, 'ebike': 0}",1,15,0,1,1,1,1574868854,False,IN_SERVICE,387 - Luna,16,-34.638584,-58.399683,2019-11-27 12:37:08.432487-03:00
425,3,"{'mechanical': 3, 'ebike': 0}",0,13,0,1,1,1,1574868824,False,IN_SERVICE,394 - Av. La Plata,16,-34.6440763,-58.422091,2019-11-27 12:37:08.432487-03:00
426,2,"{'mechanical': 2, 'ebike': 0}",1,17,0,1,1,1,1574868847,False,IN_SERVICE,396 - PLAZA ALBERTI,20,-34.555582,-58.457962,2019-11-27 12:37:08.432487-03:00
427,1,"{'mechanical': 1, 'ebike': 0}",1,22,1,1,1,1,1574869003,False,IN_SERVICE,397 - PLAZA MATHEU,24,-34.64072,-58.367461,2019-11-27 12:37:08.432487-03:00
428,1,"{'mechanical': 1, 'ebike': 0}",0,19,0,1,1,1,1574868784,False,IN_SERVICE,225 - HOSPITAL TORNU,20,-34.587458,-58.4739506,2019-11-27 12:37:08.432487-03:00
429,1,"{'mechanical': 1, 'ebike': 0}",3,4,0,1,1,1,1574868788,False,IN_SERVICE,201 - PEPIRI,8,-34.6522282,-58.4078361,2019-11-27 12:37:08.432487-03:00
430,0,"{'mechanical': 0, 'ebike': 0}",3,9,0,1,1,1,1574868813,False,IN_SERVICE,037 - Claudia Pia Braudacco,12,-34.607981,-58.3778856,2019-11-27 12:37:08.432487-03:00
431,0,"{'mechanical': 0, 'ebike': 0}",0,36,0,1,1,1,1574868914,False,IN_SERVICE,362 - PARQUE DE LA MEMORIA,36,-34.5430055,-58.4361167,2019-11-27 12:37:08.432487-03:00
432,0,"{'mechanical': 0, 'ebike': 0}",0,20,0,1,1,1,1574868900,False,IN_SERVICE,187 - Jose Maria Moreno,20,-34.620249,-58.435877,2019-11-27 12:37:08.432487-03:00
433,2,"{'mechanical': 2, 'ebike': 0}",0,18,0,1,1,1,1574868912,False,IN_SERVICE,273 - Plazoleta Colombia,20,-34.637491,-58.373638,2019-11-27 12:37:08.432487-03:00
434,0,"{'mechanical': 0, 'ebike': 0}",1,11,0,1,1,1,1574868986,False,IN_SERVICE,247 - Plaza Lucio Demare,12,-34.5457258,-58.4650865,2019-11-27 12:37:08.432487-03:00
435,1,"{'mechanical': 1, 'ebike': 0}",0,15,0,1,1,1,1574868783,False,IN_SERVICE,227 -Club Ciudad de Buenos Aires,16,-34.5445971,-58.4595541,2019-11-27 12:37:08.432487-03:00
436,0,"{'mechanical': 0, 'ebike': 0}",0,28,0,1,1,1,1574868909,False,IN_SERVICE,253 - Plaza Colegiales,28,-34.5782972,-58.4450299,2019-11-27 12:37:08.432487-03:00
441,0,"{'mechanical': 0, 'ebike': 0}",2,18,0,1,1,1,1574868906,False,IN_SERVICE,016 - Legislatura,20,-34.61001199,-58.3749195,2019-11-27 12:37:08.432487-03:00
442,0,"{'mechanical': 0, 'ebike': 0}",2,13,0,1,1,1,1574868973,False,IN_SERVICE,048 - Perón,15,-34.6056194,-58.371607,2019-11-27 12:37:08.432487-03:00
443,0,"{'mechanical': 0, 'ebike': 0}",1,17,1,1,1,1,1574868920,False,IN_SERVICE,081 -Balcarce,18,-34.6157533,-58.3706184,2019-11-27 12:37:08.432487-03:00
444,0,"{'mechanical': 0, 'ebike': 0}",5,19,0,1,1,1,1574868778,False,IN_SERVICE,061-Ministerio de Economia,24,-34.608678,-58.3710082,2019-11-27 12:37:08.432487-03:00
448,6,"{'mechanical': 6, 'ebike': 0}",1,9,2,1,1,1,1574868837,False,IN_SERVICE,393 - Barrio 31,16,-34.582618,-58.3787309,2019-11-27 12:37:08.432487-03:00
449,1,"{'mechanical': 1, 'ebike': 0}",1,22,0,1,1,1,1574868801,False,IN_SERVICE,352 - San Jose de Flores,24,-34.6289374,-58.4636606,2019-11-27 12:37:08.432487-03:00
450,198,"{'mechanical': 99, 'ebike': 99}",0,99,0,1,1,1,1567199965,False,IN_SERVICE,teste ecobici - 450,1,-23.5563617,-46.6625619,2019-11-27 12:37:08.432487-03:00
451,198,"{'mechanical': 99, 'ebike': 99}",0,99,0,1,1,1,1568241592,False,IN_SERVICE,teste ecobici - 451,1,45.5568536,-73.4941693,2019-11-27 12:37:08.432487-03:00
